Date,Time
23 Jun,08:59am
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,1
2020-03-16,0
2020-03-17,25
2020-03-18,7
2020-03-19,50
2020-03-20,21
2020-03-21,48
2020-03-22,73
2020-03-23,24
2020-03-24,47
2020-03-25,27
2020-03-26,85
2020-03-27,82
2020-03-28,68
2020-03-29,35
2020-03-30,59
2020-03-31,56
2020-04-01,137
2020-04-02,75
2020-04-03,152
2020-04-04,91
2020-04-05,330
2020-04-06,425
2020-04-07,112
2020-04-08,141
